Add:         001607A Bypass Cereb Vent to Subgaleal with Autol Sub, Open Approach Bypass Cerebral Ventricle to Subgaleal Space with Autologous Tissue Substitute, Open Approach
Add:         00160JA Bypass Cereb Vent to Subgaleal with Synth Sub, Open Approach Bypass Cerebral Ventricle to Subgaleal Space with Synthetic Substitute, Open Approach
Add:         0D18078 Bypass Small Intest to Small Intest w Autol Sub, Open        Bypass Small Intestine to Small Intestine with Autologous Tissue Substitute, Open Approach
Add:         0D1807H Bypass Small Intest to Cecum with Autol Sub, Open Approach   Bypass Small Intestine to Cecum with Autologous Tissue Substitute, Open Approach
Add:         0D1807K Bypass Small Intest to Asc Colon w Autol Sub, Open           Bypass Small Intestine to Ascending Colon with Autologous Tissue Substitute, Open Approach
Add:         0D1807L Bypass Small Intest to Trans Colon w Autol Sub, Open         Bypass Small Intestine to Transverse Colon with Autologous Tissue Substitute, Open Approach
Add:         0D1807M Bypass Small Intest to Desc Colon w Autol Sub, Open          Bypass Small Intestine to Descending Colon with Autologous Tissue Substitute, Open Approach
Add:         0D1807N Bypass Small Intest to Sigm Colon w Autol Sub, Open          Bypass Small Intestine to Sigmoid Colon with Autologous Tissue Substitute, Open Approach
Add:         0D1807P Bypass Small Intest to Rectum with Autol Sub, Open Approach  Bypass Small Intestine to Rectum with Autologous Tissue Substitute, Open Approach
Add:         0D1807Q Bypass Small Intestine to Anus with Autol Sub, Open Approach Bypass Small Intestine to Anus with Autologous Tissue Substitute, Open Approach
Add:         0D180J4 Bypass Small Intest to Cutan with Synth Sub, Open Approach   Bypass Small Intestine to Cutaneous with Synthetic Substitute, Open Approach
Add:         0D180J8 Bypass Small Intest to Small Intest w Synth Sub, Open        Bypass Small Intestine to Small Intestine with Synthetic Substitute, Open Approach
Add:         0D180JH Bypass Small Intest to Cecum with Synth Sub, Open Approach   Bypass Small Intestine to Cecum with Synthetic Substitute, Open Approach
Add:         0D180JK Bypass Small Intest to Asc Colon w Synth Sub, Open           Bypass Small Intestine to Ascending Colon with Synthetic Substitute, Open Approach
Add:         0D180JL Bypass Small Intest to Trans Colon w Synth Sub, Open         Bypass Small Intestine to Transverse Colon with Synthetic Substitute, Open Approach
Add:         0D180JM Bypass Small Intest to Desc Colon w Synth Sub, Open          Bypass Small Intestine to Descending Colon with Synthetic Substitute, Open Approach
Add:         0D180JN Bypass Small Intest to Sigm Colon w Synth Sub, Open          Bypass Small Intestine to Sigmoid Colon with Synthetic Substitute, Open Approach
Add:         0D180JP Bypass Small Intest to Rectum with Synth Sub, Open Approach  Bypass Small Intestine to Rectum with Synthetic Substitute, Open Approach
Add:         0D180JQ Bypass Small Intestine to Anus with Synth Sub, Open Approach Bypass Small Intestine to Anus with Synthetic Substitute, Open Approach
Add:         0D180K4 Bypass Small Intest to Cutan with Nonaut Sub, Open Approach  Bypass Small Intestine to Cutaneous with Nonautologous Tissue Substitute, Open Approach
Add:         0D180K8 Bypass Small Intest to Small Intest w Nonaut Sub, Open       Bypass Small Intestine to Small Intestine with Nonautologous Tissue Substitute, Open Approach
Add:         0D180KH Bypass Small Intest to Cecum with Nonaut Sub, Open Approach  Bypass Small Intestine to Cecum with Nonautologous Tissue Substitute, Open Approach
Add:         0D180KK Bypass Small Intest to Asc Colon w Nonaut Sub, Open          Bypass Small Intestine to Ascending Colon with Nonautologous Tissue Substitute, Open Approach
Add:         0D180KL Bypass Small Intest to Trans Colon w Nonaut Sub, Open        Bypass Small Intestine to Transverse Colon with Nonautologous Tissue Substitute, Open Approach
Add:         0D180KM Bypass Small Intest to Desc Colon w Nonaut Sub, Open         Bypass Small Intestine to Descending Colon with Nonautologous Tissue Substitute, Open Approach
Add:         0D180KN Bypass Small Intest to Sigm Colon w Nonaut Sub, Open         Bypass Small Intestine to Sigmoid Colon with Nonautologous Tissue Substitute, Open Approach
Add:         0D180KP Bypass Small Intest to Rectum with Nonaut Sub, Open Approach Bypass Small Intestine to Rectum with Nonautologous Tissue Substitute, Open Approach
Add:         0D180KQ Bypass Small Intest to Anus with Nonaut Sub, Open Approach   Bypass Small Intestine to Anus with Nonautologous Tissue Substitute, Open Approach
Add:         0D180Z4 Bypass Small Intestine to Cutaneous, Open Approach           Bypass Small Intestine to Cutaneous, Open Approach
Add:         0D180Z8 Bypass Small Intestine to Small Intestine, Open Approach     Bypass Small Intestine to Small Intestine, Open Approach
Add:         0D180ZH Bypass Small Intestine to Cecum, Open Approach               Bypass Small Intestine to Cecum, Open Approach
Add:         0D180ZK Bypass Small Intestine to Ascending Colon, Open Approach     Bypass Small Intestine to Ascending Colon, Open Approach
Add:         0D180ZL Bypass Small Intestine to Transverse Colon, Open Approach    Bypass Small Intestine to Transverse Colon, Open Approach
Add:         0D180ZM Bypass Small Intestine to Descending Colon, Open Approach    Bypass Small Intestine to Descending Colon, Open Approach
Add:         0D180ZN Bypass Small Intestine to Sigmoid Colon, Open Approach       Bypass Small Intestine to Sigmoid Colon, Open Approach
Add:         0D180ZP Bypass Small Intestine to Rectum, Open Approach              Bypass Small Intestine to Rectum, Open Approach
Add:         0D180ZQ Bypass Small Intestine to Anus, Open Approach                Bypass Small Intestine to Anus, Open Approach
Add:         0D18474 Bypass Small Intest to Cutan w Autol Sub, Perc Endo          Bypass Small Intestine to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D18478 Bypass Small Intest to Small Intest w Autol Sub, Perc Endo   Bypass Small Intestine to Small Intestine with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D1847H Bypass Small Intest to Cecum w Autol Sub, Perc Endo          Bypass Small Intestine to Cecum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D1847K Bypass Small Intest to Asc Colon w Autol Sub, Perc Endo      Bypass Small Intestine to Ascending Colon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D1847L Bypass Small Intest to Trans Colon w Autol Sub, Perc Endo    Bypass Small Intestine to Transverse Colon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D1847M Bypass Small Intest to Desc Colon w Autol Sub, Perc Endo     Bypass Small Intestine to Descending Colon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D1847N Bypass Small Intest to Sigm Colon w Autol Sub, Perc Endo     Bypass Small Intestine to Sigmoid Colon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D1847P Bypass Small Intest to Rectum w Autol Sub, Perc Endo         Bypass Small Intestine to Rectum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D1847Q Bypass Small Intest to Anus w Autol Sub, Perc Endo           Bypass Small Intestine to Anus with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D184J4 Bypass Small Intest to Cutan w Synth Sub, Perc Endo          Bypass Small Intestine to Cutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         0D184J8 Bypass Small Intest to Small Intest w Synth Sub, Perc Endo   Bypass Small Intestine to Small Intestine with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         0D184JH Bypass Small Intest to Cecum w Synth Sub, Perc Endo          Bypass Small Intestine to Cecum with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         0D184JK Bypass Small Intest to Asc Colon w Synth Sub, Perc Endo      Bypass Small Intestine to Ascending Colon with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         0D184JL Bypass Small Intest to Trans Colon w Synth Sub, Perc Endo    Bypass Small Intestine to Transverse Colon with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         0D184JM Bypass Small Intest to Desc Colon w Synth Sub, Perc Endo     Bypass Small Intestine to Descending Colon with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         0D184JN Bypass Small Intest to Sigm Colon w Synth Sub, Perc Endo     Bypass Small Intestine to Sigmoid Colon with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         0D184JP Bypass Small Intest to Rectum w Synth Sub, Perc Endo         Bypass Small Intestine to Rectum with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         0D184JQ Bypass Small Intest to Anus w Synth Sub, Perc Endo           Bypass Small Intestine to Anus with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         0D184K4 Bypass Small Intest to Cutan w Nonaut Sub, Perc Endo         Bypass Small Intestine to Cutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D184K8 Bypass Small Intest to Small Intest w Nonaut Sub, Perc Endo  Bypass Small Intestine to Small Intestine with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D184KH Bypass Small Intest to Cecum w Nonaut Sub, Perc Endo         Bypass Small Intestine to Cecum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D184KK Bypass Small Intest to Asc Colon w Nonaut Sub, Perc Endo     Bypass Small Intestine to Ascending Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D184KL Bypass Small Intest to Trans Colon w Nonaut Sub, Perc Endo   Bypass Small Intestine to Transverse Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D184KM Bypass Small Intest to Desc Colon w Nonaut Sub, Perc Endo    Bypass Small Intestine to Descending Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D184KN Bypass Small Intest to Sigm Colon w Nonaut Sub, Perc Endo    Bypass Small Intestine to Sigmoid Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D184KP Bypass Small Intest to Rectum w Nonaut Sub, Perc Endo        Bypass Small Intestine to Rectum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D184KQ Bypass Small Intest to Anus w Nonaut Sub, Perc Endo          Bypass Small Intestine to Anus with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D184Z4 Bypass Small Intestine to Cutaneous, Perc Endo Approach      Bypass Small Intestine to Cutaneous, Percutaneous Endoscopic Approach
Add:         0D184Z8 Bypass Small Intestine to Small Intest, Perc Endo Approach   Bypass Small Intestine to Small Intestine, Percutaneous Endoscopic Approach
Add:         0D184ZH Bypass Small Intestine to Cecum, Perc Endo Approach          Bypass Small Intestine to Cecum, Percutaneous Endoscopic Approach
Add:         0D184ZK Bypass Small Intestine to Asc Colon, Perc Endo Approach      Bypass Small Intestine to Ascending Colon, Percutaneous Endoscopic Approach
Add:         0D184ZL Bypass Small Intestine to Trans Colon, Perc Endo Approach    Bypass Small Intestine to Transverse Colon, Percutaneous Endoscopic Approach
Add:         0D184ZM Bypass Small Intestine to Desc Colon, Perc Endo Approach     Bypass Small Intestine to Descending Colon, Percutaneous Endoscopic Approach
Add:         0D184ZN Bypass Small Intestine to Sigmoid Colon, Perc Endo Approach  Bypass Small Intestine to Sigmoid Colon, Percutaneous Endoscopic Approach
Add:         0D184ZP Bypass Small Intestine to Rectum, Perc Endo Approach         Bypass Small Intestine to Rectum, Percutaneous Endoscopic Approach
Add:         0D184ZQ Bypass Small Intestine to Anus, Perc Endo Approach           Bypass Small Intestine to Anus, Percutaneous Endoscopic Approach
Add:         0D18874 Bypass Small Intestine to Cutaneous with Autol Sub, Endo     Bypass Small Intestine to Cutaneous with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D18878 Bypass Small Intestine to Small Intest with Autol Sub, Endo  Bypass Small Intestine to Small Intestine with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D1887H Bypass Small Intestine to Cecum with Autol Sub, Endo         Bypass Small Intestine to Cecum with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D1887K Bypass Small Intestine to Asc Colon with Autol Sub, Endo     Bypass Small Intestine to Ascending Colon with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D1887L Bypass Small Intestine to Trans Colon with Autol Sub, Endo   Bypass Small Intestine to Transverse Colon with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D1887M Bypass Small Intestine to Desc Colon with Autol Sub, Endo    Bypass Small Intestine to Descending Colon with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D1887N Bypass Small Intestine to Sigmoid Colon with Autol Sub, Endo Bypass Small Intestine to Sigmoid Colon with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D1887P Bypass Small Intestine to Rectum with Autol Sub, Endo        Bypass Small Intestine to Rectum with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D1887Q Bypass Small Intestine to Anus with Autol Sub, Endo          Bypass Small Intestine to Anus with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188J4 Bypass Small Intestine to Cutaneous with Synth Sub, Endo     Bypass Small Intestine to Cutaneous with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188J8 Bypass Small Intestine to Small Intest with Synth Sub, Endo  Bypass Small Intestine to Small Intestine with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188JH Bypass Small Intestine to Cecum with Synth Sub, Endo         Bypass Small Intestine to Cecum with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188JK Bypass Small Intestine to Asc Colon with Synth Sub, Endo     Bypass Small Intestine to Ascending Colon with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188JL Bypass Small Intestine to Trans Colon with Synth Sub, Endo   Bypass Small Intestine to Transverse Colon with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188JM Bypass Small Intestine to Desc Colon with Synth Sub, Endo    Bypass Small Intestine to Descending Colon with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188JN Bypass Small Intestine to Sigmoid Colon with Synth Sub, Endo Bypass Small Intestine to Sigmoid Colon with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188JP Bypass Small Intestine to Rectum with Synth Sub, Endo        Bypass Small Intestine to Rectum with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188JQ Bypass Small Intestine to Anus with Synth Sub, Endo          Bypass Small Intestine to Anus with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188K4 Bypass Small Intestine to Cutaneous with Nonaut Sub, Endo    Bypass Small Intestine to Cutaneous with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188K8 Bypass Small Intestine to Small Intest with Nonaut Sub, Endo Bypass Small Intestine to Small Intestine with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188KH Bypass Small Intestine to Cecum with Nonaut Sub, Endo        Bypass Small Intestine to Cecum with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188KK Bypass Small Intestine to Asc Colon with Nonaut Sub, Endo    Bypass Small Intestine to Ascending Colon with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188KL Bypass Small Intestine to Trans Colon with Nonaut Sub, Endo  Bypass Small Intestine to Transverse Colon with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188KM Bypass Small Intestine to Desc Colon with Nonaut Sub, Endo   Bypass Small Intestine to Descending Colon with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188KN Bypass Small Intestine to Sigm Colon with Nonaut Sub, Endo   Bypass Small Intestine to Sigmoid Colon with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188KP Bypass Small Intestine to Rectum with Nonaut Sub, Endo       Bypass Small Intestine to Rectum with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188KQ Bypass Small Intestine to Anus with Nonaut Sub, Endo         Bypass Small Intestine to Anus with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D188Z4 Bypass Small Intestine to Cutaneous, Endo                    Bypass Small Intestine to Cutaneous, Via Natural or Artificial Opening Endoscopic
Add:         0D188Z8 Bypass Small Intestine to Small Intestine, Endo              Bypass Small Intestine to Small Intestine, Via Natural or Artificial Opening Endoscopic
Add:         0D188ZH Bypass Small Intestine to Cecum, Endo                        Bypass Small Intestine to Cecum, Via Natural or Artificial Opening Endoscopic
Add:         0D188ZK Bypass Small Intestine to Ascending Colon, Endo              Bypass Small Intestine to Ascending Colon, Via Natural or Artificial Opening Endoscopic
Add:         0D188ZL Bypass Small Intestine to Transverse Colon, Endo             Bypass Small Intestine to Transverse Colon, Via Natural or Artificial Opening Endoscopic
Add:         0D188ZM Bypass Small Intestine to Descending Colon, Endo             Bypass Small Intestine to Descending Colon, Via Natural or Artificial Opening Endoscopic
Add:         0D188ZN Bypass Small Intestine to Sigmoid Colon, Endo                Bypass Small Intestine to Sigmoid Colon, Via Natural or Artificial Opening Endoscopic
Add:         0D188ZP Bypass Small Intestine to Rectum, Endo                       Bypass Small Intestine to Rectum, Via Natural or Artificial Opening Endoscopic
Add:         0D188ZQ Bypass Small Intestine to Anus, Endo                         Bypass Small Intestine to Anus, Via Natural or Artificial Opening Endoscopic
Add:         0D1E074 Bypass Lg Intest to Cutan with Autol Sub, Open Approach      Bypass Large Intestine to Cutaneous with Autologous Tissue Substitute, Open Approach
Add:         0D1E07E Bypass Lg Intest to Lg Intest with Autol Sub, Open Approach  Bypass Large Intestine to Large Intestine with Autologous Tissue Substitute, Open Approach
Add:         0D1E07P Bypass Lg Intest to Rectum with Autol Sub, Open Approach     Bypass Large Intestine to Rectum with Autologous Tissue Substitute, Open Approach
Add:         0D1E0J4 Bypass Lg Intest to Cutan with Synth Sub, Open Approach      Bypass Large Intestine to Cutaneous with Synthetic Substitute, Open Approach
Add:         0D1E0JE Bypass Lg Intest to Lg Intest with Synth Sub, Open Approach  Bypass Large Intestine to Large Intestine with Synthetic Substitute, Open Approach
Add:         0D1E0JP Bypass Lg Intest to Rectum with Synth Sub, Open Approach     Bypass Large Intestine to Rectum with Synthetic Substitute, Open Approach
Add:         0D1E0K4 Bypass Lg Intest to Cutan with Nonaut Sub, Open Approach     Bypass Large Intestine to Cutaneous with Nonautologous Tissue Substitute, Open Approach
Add:         0D1E0KE Bypass Lg Intest to Lg Intest with Nonaut Sub, Open Approach Bypass Large Intestine to Large Intestine with Nonautologous Tissue Substitute, Open Approach
Add:         0D1E0KP Bypass Lg Intest to Rectum with Nonaut Sub, Open Approach    Bypass Large Intestine to Rectum with Nonautologous Tissue Substitute, Open Approach
Add:         0D1E0Z4 Bypass Large Intestine to Cutaneous, Open Approach           Bypass Large Intestine to Cutaneous, Open Approach
Add:         0D1E0ZE Bypass Large Intestine to Large Intestine, Open Approach     Bypass Large Intestine to Large Intestine, Open Approach
Add:         0D1E0ZP Bypass Large Intestine to Rectum, Open Approach              Bypass Large Intestine to Rectum, Open Approach
Add:         0D1E474 Bypass Lg Intest to Cutan with Autol Sub, Perc Endo Approach Bypass Large Intestine to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D1E47E Bypass Lg Intest to Lg Intest w Autol Sub, Perc Endo         Bypass Large Intestine to Large Intestine with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D1E47P Bypass Lg Intest to Rectum w Autol Sub, Perc Endo            Bypass Large Intestine to Rectum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D1E4J4 Bypass Lg Intest to Cutan with Synth Sub, Perc Endo Approach Bypass Large Intestine to Cutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         0D1E4JE Bypass Lg Intest to Lg Intest w Synth Sub, Perc Endo         Bypass Large Intestine to Large Intestine with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         0D1E4JP Bypass Lg Intest to Rectum w Synth Sub, Perc Endo            Bypass Large Intestine to Rectum with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         0D1E4K4 Bypass Lg Intest to Cutan w Nonaut Sub, Perc Endo            Bypass Large Intestine to Cutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D1E4KE Bypass Lg Intest to Lg Intest w Nonaut Sub, Perc Endo        Bypass Large Intestine to Large Intestine with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D1E4KP Bypass Lg Intest to Rectum w Nonaut Sub, Perc Endo           Bypass Large Intestine to Rectum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         0D1E4Z4 Bypass Large Intestine to Cutaneous, Perc Endo Approach      Bypass Large Intestine to Cutaneous, Percutaneous Endoscopic Approach
Add:         0D1E4ZE Bypass Large Intestine to Lg Intest, Perc Endo Approach      Bypass Large Intestine to Large Intestine, Percutaneous Endoscopic Approach
Add:         0D1E4ZP Bypass Large Intestine to Rectum, Perc Endo Approach         Bypass Large Intestine to Rectum, Percutaneous Endoscopic Approach
Add:         0D1E874 Bypass Large Intestine to Cutaneous with Autol Sub, Endo     Bypass Large Intestine to Cutaneous with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D1E87E Bypass Large Intestine to Lg Intest with Autol Sub, Endo     Bypass Large Intestine to Large Intestine with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D1E87P Bypass Large Intestine to Rectum with Autol Sub, Endo        Bypass Large Intestine to Rectum with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D1E8J4 Bypass Large Intestine to Cutaneous with Synth Sub, Endo     Bypass Large Intestine to Cutaneous with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D1E8JE Bypass Large Intestine to Lg Intest with Synth Sub, Endo     Bypass Large Intestine to Large Intestine with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D1E8JP Bypass Large Intestine to Rectum with Synth Sub, Endo        Bypass Large Intestine to Rectum with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D1E8K4 Bypass Large Intestine to Cutaneous with Nonaut Sub, Endo    Bypass Large Intestine to Cutaneous with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D1E8KE Bypass Large Intestine to Lg Intest with Nonaut Sub, Endo    Bypass Large Intestine to Large Intestine with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D1E8KP Bypass Large Intestine to Rectum with Nonaut Sub, Endo       Bypass Large Intestine to Rectum with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
Add:         0D1E8Z4 Bypass Large Intestine to Cutaneous, Endo                    Bypass Large Intestine to Cutaneous, Via Natural or Artificial Opening Endoscopic
Add:         0D1E8ZE Bypass Large Intestine to Large Intestine, Endo              Bypass Large Intestine to Large Intestine, Via Natural or Artificial Opening Endoscopic
Add:         0D1E8ZP Bypass Large Intestine to Rectum, Endo                       Bypass Large Intestine to Rectum, Via Natural or Artificial Opening Endoscopic
Add:         0DXE0Z7 Transfer Large Intestine to Vagina, Open Approach            Transfer Large Intestine to Vagina, Open Approach
Add:         0DXE4Z7 Transfer Large Intestine to Vagina, Perc Endo Approach       Transfer Large Intestine to Vagina, Percutaneous Endoscopic Approach
Delete:      0H0TX7Z Alteration of Right Breast with Autol Sub, Extern Approach   Alteration of Right Breast with Autologous Tissue Substitute, External Approach
Delete:      0H0TXJZ Alteration of Right Breast with Synth Sub, Extern Approach   Alteration of Right Breast with Synthetic Substitute, External Approach
Delete:      0H0TXKZ Alteration of Right Breast with Nonaut Sub, Extern Approach  Alteration of Right Breast with Nonautologous Tissue Substitute, External Approach
Delete:      0H0TXZZ Alteration of Right Breast, External Approach                Alteration of Right Breast, External Approach
Delete:      0H0UX7Z Alteration of Left Breast with Autol Sub, Extern Approach    Alteration of Left Breast with Autologous Tissue Substitute, External Approach
Delete:      0H0UXJZ Alteration of Left Breast with Synth Sub, Extern Approach    Alteration of Left Breast with Synthetic Substitute, External Approach
Delete:      0H0UXKZ Alteration of Left Breast with Nonaut Sub, Extern Approach   Alteration of Left Breast with Nonautologous Tissue Substitute, External Approach
Delete:      0H0UXZZ Alteration of Left Breast, External Approach                 Alteration of Left Breast, External Approach
Delete:      0H0VX7Z Alteration of Bi Breast with Autol Sub, Extern Approach      Alteration of Bilateral Breast with Autologous Tissue Substitute, External Approach
Delete:      0H0VXJZ Alteration of Bi Breast with Synth Sub, Extern Approach      Alteration of Bilateral Breast with Synthetic Substitute, External Approach
Delete:      0H0VXKZ Alteration of Bi Breast with Nonaut Sub, Extern Approach     Alteration of Bilateral Breast with Nonautologous Tissue Substitute, External Approach
Delete:      0H0VXZZ Alteration of Bilateral Breast, External Approach            Alteration of Bilateral Breast, External Approach
Delete:      0H5TXZZ Destruction of Right Breast, External Approach               Destruction of Right Breast, External Approach
Delete:      0H5UXZZ Destruction of Left Breast, External Approach                Destruction of Left Breast, External Approach
Delete:      0H5VXZZ Destruction of Bilateral Breast, External Approach           Destruction of Bilateral Breast, External Approach
Delete:      0H9TX0Z Drainage of Right Breast with Drain Dev, Extern Approach     Drainage of Right Breast with Drainage Device, External Approach
Delete:      0H9TXZX Drainage of Right Breast, External Approach, Diagnostic      Drainage of Right Breast, External Approach, Diagnostic
Delete:      0H9TXZZ Drainage of Right Breast, External Approach                  Drainage of Right Breast, External Approach
Delete:      0H9UX0Z Drainage of Left Breast with Drain Dev, Extern Approach      Drainage of Left Breast with Drainage Device, External Approach
Delete:      0H9UXZX Drainage of Left Breast, External Approach, Diagnostic       Drainage of Left Breast, External Approach, Diagnostic
Delete:      0H9UXZZ Drainage of Left Breast, External Approach                   Drainage of Left Breast, External Approach
Delete:      0H9VX0Z Drainage of Bilateral Breast with Drain Dev, Extern Approach Drainage of Bilateral Breast with Drainage Device, External Approach
Delete:      0H9VXZX Drainage of Bilateral Breast, External Approach, Diagnostic  Drainage of Bilateral Breast, External Approach, Diagnostic
Delete:      0H9VXZZ Drainage of Bilateral Breast, External Approach              Drainage of Bilateral Breast, External Approach
Delete:      0HBTXZX Excision of Right Breast, External Approach, Diagnostic      Excision of Right Breast, External Approach, Diagnostic
Delete:      0HBTXZZ Excision of Right Breast, External Approach                  Excision of Right Breast, External Approach
Delete:      0HBUXZX Excision of Left Breast, External Approach, Diagnostic       Excision of Left Breast, External Approach, Diagnostic
Delete:      0HBUXZZ Excision of Left Breast, External Approach                   Excision of Left Breast, External Approach
Delete:      0HBVXZX Excision of Bilateral Breast, External Approach, Diagnostic  Excision of Bilateral Breast, External Approach, Diagnostic
Delete:      0HBVXZZ Excision of Bilateral Breast, External Approach              Excision of Bilateral Breast, External Approach
Delete:      0HBYXZX Excision of Supernumerary Breast, External Approach, Diagn   Excision of Supernumerary Breast, External Approach, Diagnostic
Delete:      0HBYXZZ Excision of Supernumerary Breast, External Approach          Excision of Supernumerary Breast, External Approach
Delete:      0HCTXZZ Extirpation of Matter from Right Breast, External Approach   Extirpation of Matter from Right Breast, External Approach
Delete:      0HCUXZZ Extirpation of Matter from Left Breast, External Approach    Extirpation of Matter from Left Breast, External Approach
Delete:      0HCVXZZ Extirpation of Matter from Bilateral Breast, Extern Approach Extirpation of Matter from Bilateral Breast, External Approach
Add:         0HDT0ZZ Extraction of Right Breast, Open Approach                    Extraction of Right Breast, Open Approach
Add:         0HDU0ZZ Extraction of Left Breast, Open Approach                     Extraction of Left Breast, Open Approach
Add:         0HDV0ZZ Extraction of Bilateral Breast, Open Approach                Extraction of Bilateral Breast, Open Approach
Add:         0HDY0ZZ Extraction of Supernumerary Breast, Open Approach            Extraction of Supernumerary Breast, Open Approach
Delete:      0HHTX1Z Insertion of Radioact Elem into R Breast, Extern Approach    Insertion of Radioactive Element into Right Breast, External Approach
Delete:      0HHUX1Z Insertion of Radioact Elem into L Breast, Extern Approach    Insertion of Radioactive Element into Left Breast, External Approach
